GCF NAME							
GCF_002000685	NZ_CP014415.1	NZ_CP014416.1	NZ_CP014417.1	NZ_CP014418.1	NZ_CP014419.1		
GCF_002000705	NZ_CP014420.1	NZ_CP014421.1	NZ_CP014422.1				
GCF_002000725	NZ_CP014423.1	NZ_CP014424.1	NZ_CP014425.1				
GCF_002000745	NZ_CP014426.1	NZ_CP014427.1	NZ_CP014428.1				
GCF_002000765	NZ_CP014429.1	NZ_CP014430.1	NZ_CP014431.1				
GCF_002000785	NZ_CP014432.1	NZ_CP014433.1	NZ_CP014434.1				
GCF_002000805	NZ_CP014435.1	NZ_CP014436.1	NZ_CP014437.1				
GCF_002000825	NZ_CP014438.1	NZ_CP014439.1	NZ_CP014440.1				
GCF_002000845	NZ_CP014441.1	NZ_CP014442.1	NZ_CP014443.1				
GCF_002000865	NZ_CP014444.1	NZ_CP014445.1	NZ_CP014446.1	NZ_CP014447.1	NZ_CP014448.1		
GCF_002025125	NZ_CP020019.1						
GCF_002025145	NZ_CP020020.1	NZ_CP020021.1					
GCF_002085525	NZ_CP020619.1						
GCF_002088995	NZ_CP019590.1						
GCF_002089035	NZ_CP019591.2						
GCF_002089055	NZ_CP019592.1						
GCF_002089075	NZ_CP019593.2						
GCF_002089095	NZ_CP019595.2						
GCF_002089115	NZ_CP019594.2						
GCF_002097595	NZ_CP015447.2						
GCF_002140115	NZ_CP015817.1	NZ_CP015818.1					
GCF_002202075	NZ_CP021905.1	NZ_CP021906.1					
GCF_002202095	NZ_CP021907.1	NZ_CP021908.1					
GCF_002204555	NZ_CP017090.1						
GCF_002204575	NZ_CP017091.1						
GCF_002209325	NZ_CP017115.1						
GCF_002214665	NZ_CP016398.1	NZ_CP016399.1					
GCF_002310395	NZ_CP023391.1						
GCF_002310435	NZ_CP023390.1						
GCF_002355355	NZ_AP017377.1						
GCF_002356675	NZ_AP014921.1	NZ_AP014922.1					
GCF_002386245	NZ_CP023500.1						
GCF_002442975	NZ_CP020741.1						
GCF_002633765	NZ_CP017685.1						
GCF_002633785	NZ_CP017684.1						
GCF_002633805	NZ_CP017682.1	NZ_CP017683.1					
GCF_002633825	NZ_CP017680.1	NZ_CP017681.1					
GCF_002633845	NZ_CP017679.1						
GCF_002633865	NZ_CP017677.1	NZ_CP017678.1					
GCF_002786465	NZ_CP022290.1						
GCF_002786535	NZ_CP022291.1						
GCF_002795285	NZ_CP019574.1	NZ_CP019575.1					
GCF_002803885	NZ_CP024998.1	NZ_CP024999.1					
GCF_002850395	NZ_CP020713.1						
GCF_002850415	NZ_CP020714.1						
GCF_002895385	NZ_CP018629.1						
GCF_002952015	NZ_CP020656.1						
GCF_003010875	NZ_CP020354.1	NZ_CP020355.1					
GCF_003029645	NZ_CP028163.1	NZ_CP028164.1					
GCF_003030065	NZ_CP028190.1	NZ_CP028191.1					
GCF_003030085	NZ_CP028165.1						
GCF_003030225	NZ_CP028189.1						
GCF_003031285	NZ_CP023561.1	NZ_CP023562.1					
GCF_003031425	NZ_CP020467.1						
GCF_003031485	NZ_CP021105.1						
GCF_003073395	NZ_CP029031.1						
GCF_003073415	NZ_CP029030.1						
GCF_003073435	NZ_CP029032.1						
GCF_003073635	NZ_CP029080.1	NZ_CP029079.1					
GCF_003073655	NZ_CP029082.1	NZ_CP029081.1					
GCF_003073715	NZ_CP029087.1						
GCF_003073755	NZ_CP029084.1	NZ_CP029083.1					
GCF_003073775	NZ_CP029086.1	NZ_CP029085.1					
GCF_003111725	NZ_CP029166.1	NZ_CP029167.1	NZ_CP029165.1				
