GCF NAME														
GCF_000009885	NC_012731.1	NC_006625.1												
GCF_000775375	NZ_CP009771.1	NZ_CP009773.1	NZ_CP009774.1	NZ_CP009772.1										
GCF_000775395	NZ_CP009775.1	NZ_CP009776.1	NZ_CP009778.1	NZ_CP009777.1										
GCF_000775955	NZ_CP009461.1													
GCF_000784945	NZ_CP009863.1	NZ_CP009864.1	NZ_CP009865.1											
GCF_000784985	NZ_CP009872.1	NZ_CP009874.1	NZ_CP009873.1	NZ_CP009875.1										
GCF_000785005	NZ_CP009876.1	NZ_CP009879.1	NZ_CP009877.1	NZ_CP009878.1										
GCF_000813205	NZ_CP006738.1													
GCF_000814305	NZ_CP010392.1	NZ_CP010394.1	NZ_CP010393.1	NZ_CP010395.1	NZ_CP010396.1									
GCF_000814805	NZ_CP006722.1													
GCF_000968155	NZ_FO834906.1	NZ_FO834904.1	NZ_FO834905.1											
GCF_001022035	NZ_CP011578.1	NZ_CP011577.1	NZ_CP011576.1	NZ_CP011575.1										
GCF_001022175	NZ_CP011624.1	NZ_CP011623.1	NZ_CP011619.1	NZ_CP011620.1	NZ_CP011621.1	NZ_CP011622.1								
GCF_001022235	NZ_CP011647.1	NZ_CP011643.1	NZ_CP011644.1	NZ_CP011645.1	NZ_CP011646.1									
GCF_001185665	NZ_CP073054.1	NZ_CP073055.1	NZ_CP073056.1	NZ_CP073057.1	NZ_CP073058.1	NZ_CP073059.1								
GCF_001307175	NZ_CP012753.1	NZ_CP012754.1	NZ_CP012755.1											
GCF_001316565	NZ_CP023487.1	NZ_CP023488.1	NZ_CP023489.1											
GCF_001455995	NZ_LN824133.1	NZ_LN824134.1	NZ_LN824135.1	NZ_LN824136.1	NZ_LN824137.1	NZ_LN824138.1	NZ_LN824139.1							
GCF_001456055	NZ_CP012987.1	NZ_CP012991.1	NZ_CP012988.3	NZ_CP012990.1	NZ_CP012989.1									
GCF_001456095	NZ_CP012992.1	NZ_CP014305.2	NZ_CP012993.2	NZ_CP012995.1	NZ_CP012994.1									
GCF_001456135	NZ_CP013322.1	NZ_CP013324.1	NZ_CP013323.1	NZ_CP013321.1	NZ_CP013326.1	NZ_CP013325.1								
GCF_001482345	NZ_CP013711.1	NZ_CP013712.1	NZ_CP013713.1											
GCF_001521895	NZ_CP014004.1	NZ_CP014005.1	NZ_CP014006.1											
GCF_001529935	NZ_CP014010.1	NZ_CP014011.1												
GCF_001530015	NZ_CP014008.1	NZ_CP014009.1												
GCF_001548315	NZ_AP014950.1													
