GCF NAME																		
B1109	B1109.1	B1109.2																
GCF_001020945	NZ_CP011342.2																	
GCF_001021005	NZ_CP011343.2																	
GCF_001021595	NZ_CP007275.1																	
GCF_001021615	NZ_CP006830.1																	
GCF_001021635	NZ_CP006834.2	NZ_CP030791.1	NZ_CP030792.1	NZ_CP030793.1														
GCF_001029125	NZ_CP006636.1	NZ_CP006637.1	NZ_CP006638.1	NZ_CP006639.1	NZ_CP006640.1	NZ_CP006641.1	NZ_CP006642.1											
GCF_001039415	NZ_CP011938.1																	
GCF_001043215	NZ_CP011495.1	NZ_CP011496.1																
GCF_001051135	NZ_CP007442.1																	
GCF_001183645	NZ_CP012125.1																	
GCF_001183665	NZ_CP012126.1																	
GCF_001183685	NZ_CP012127.1																	
GCF_001276585	NZ_CP011113.2																	
GCF_001280325	NZ_CP012635.1	NZ_CP012636.1	NZ_CP012637.1	NZ_CP012638.1														
GCF_001280345	NZ_CP012625.1	NZ_CP012626.1	NZ_CP012627.1	NZ_CP012628.1	NZ_CP012629.1	NZ_CP012630.1												
GCF_001280385	NZ_CP012633.1	NZ_CP012634.1																
GCF_001280405	NZ_CP012631.1	NZ_CP012632.1																
GCF_001307215	NZ_CP012802.1	NZ_CP012804.1	NZ_CP012803.1															
GCF_001308065	NZ_CP012868.1																	
GCF_001308125	NZ_CP012869.1																	
GCF_001308165	NZ_CP012870.1																	
GCF_001420935	NZ_CP013029.1	NZ_CP013028.1	NZ_CP013030.1															
GCF_001420955	NZ_CP013025.1	NZ_CP013024.1	NZ_CP013026.1	NZ_CP013027.1														
GCF_001442495	NZ_CP013112.1																	
GCF_001469815	NZ_CP013658.1	NZ_CP013657.1																
GCF_001485455	NZ_CP008697.1	NZ_CP008715.1	NZ_CP008716.1	NZ_CP008717.1	NZ_CP008718.1	NZ_CP008719.1	NZ_CP008720.1	NZ_CP008721.1										
GCF_001513615	NZ_CP013831.1	NZ_CP013832.1																
GCF_001513635	NZ_CP013835.1	NZ_CP013833.1	NZ_CP013834.1															
GCF_001515725	NZ_CP007491.1																	
GCF_001544635	NZ_CP014225.1																	
GCF_001558995	NZ_CP014314.1	NZ_CP015816.1																
GCF_001559615	NZ_CP014268.2																	
GCF_001559635	NZ_CP014269.1																	
GCF_001559655	NZ_CP014270.1	NZ_CP014271.1																
GCF_001559675	NZ_CP014272.1	NZ_CP014273.1																
